Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Number of parameters: 990
Epoch 0: Loss = 2.140206, accuracy = 21.7500 %
Epoch 1: Loss = 2.011470, accuracy = 25.6500 %
Epoch 2: Loss = 1.971388, accuracy = 30.6000 %
Epoch 3: Loss = 1.970978, accuracy = 31.0500 %
Epoch 4: Loss = 1.941732, accuracy = 30.4000 %
Epoch 5: Loss = 1.928080, accuracy = 31.6500 %
Epoch 6: Loss = 1.934446, accuracy = 33.9000 %
Epoch 7: Loss = 1.927578, accuracy = 32.4000 %
Epoch 8: Loss = 1.920163, accuracy = 33.8500 %
Epoch 9: Loss = 1.901033, accuracy = 34.2500 %
Epoch 10: Loss = 1.906103, accuracy = 35.0500 %
Epoch 11: Loss = 1.898975, accuracy = 36.6500 %
Epoch 12: Loss = 1.893232, accuracy = 35.8000 %
Epoch 13: Loss = 1.889911, accuracy = 35.9500 %
Epoch 14: Loss = 1.895273, accuracy = 36.5000 %
Epoch 15: Loss = 1.885257, accuracy = 37.2500 %
Epoch 16: Loss = 1.879659, accuracy = 37.4000 %
Epoch 17: Loss = 1.872896, accuracy = 37.4000 %
Epoch 18: Loss = 1.873663, accuracy = 37.6000 %
Epoch 19: Loss = 1.870561, accuracy = 38.0000 %
Epoch 20: Loss = 1.864491, accuracy = 37.5000 %
Epoch 21: Loss = 1.865569, accuracy = 38.1500 %
Epoch 22: Loss = 1.860484, accuracy = 38.7000 %
Epoch 23: Loss = 1.857464, accuracy = 39.1000 %
Epoch 24: Loss = 1.853965, accuracy = 37.8500 %
Epoch 25: Loss = 1.854354, accuracy = 39.6500 %
Epoch 26: Loss = 1.854629, accuracy = 38.6500 %
Epoch 27: Loss = 1.851073, accuracy = 39.0000 %
Epoch 28: Loss = 1.847251, accuracy = 39.4500 %
Epoch 29: Loss = 1.843625, accuracy = 39.3000 %
Epoch 30: Loss = 1.842587, accuracy = 38.8000 %
Epoch 31: Loss = 1.842695, accuracy = 39.5000 %
Epoch 32: Loss = 1.841776, accuracy = 38.7000 %
Epoch 33: Loss = 1.842068, accuracy = 38.8500 %
Epoch 34: Loss = 1.838340, accuracy = 39.3500 %
Epoch 35: Loss = 1.839638, accuracy = 39.3500 %
Epoch 36: Loss = 1.837851, accuracy = 39.8000 %
Epoch 37: Loss = 1.837768, accuracy = 39.2500 %
Epoch 38: Loss = 1.836689, accuracy = 39.2000 %
Epoch 39: Loss = 1.836647, accuracy = 39.5500 %


Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Number of parameters: 990
Epoch 0: Loss = 2.147837, accuracy = 21.7500 %
Epoch 1: Loss = 2.019497, accuracy = 27.6500 %
Epoch 2: Loss = 1.969974, accuracy = 29.2000 %
Epoch 3: Loss = 1.962138, accuracy = 30.3500 %
Epoch 4: Loss = 1.964003, accuracy = 30.2500 %
Epoch 5: Loss = 1.944628, accuracy = 30.6500 %
Epoch 6: Loss = 1.938248, accuracy = 32.1000 %
Epoch 7: Loss = 1.927566, accuracy = 33.4500 %
Epoch 8: Loss = 1.917374, accuracy = 33.9000 %
Epoch 9: Loss = 1.906789, accuracy = 33.9000 %
Epoch 10: Loss = 1.934826, accuracy = 32.0000 %
Epoch 11: Loss = 1.905786, accuracy = 35.8000 %
Epoch 12: Loss = 1.898371, accuracy = 35.0500 %
Epoch 13: Loss = 1.895077, accuracy = 36.3500 %
Epoch 14: Loss = 1.896495, accuracy = 35.1000 %
Epoch 15: Loss = 1.884440, accuracy = 37.8000 %
Epoch 16: Loss = 1.883470, accuracy = 38.3000 %
Epoch 17: Loss = 1.880951, accuracy = 38.0000 %
Epoch 18: Loss = 1.875039, accuracy = 38.5000 %
Epoch 19: Loss = 1.878495, accuracy = 37.8000 %
Epoch 20: Loss = 1.867766, accuracy = 38.2500 %
Epoch 21: Loss = 1.864802, accuracy = 38.3500 %
Epoch 22: Loss = 1.862135, accuracy = 38.5000 %
Epoch 23: Loss = 1.862381, accuracy = 39.1500 %
Epoch 24: Loss = 1.863763, accuracy = 38.4000 %
Epoch 25: Loss = 1.858491, accuracy = 40.3500 %
Epoch 26: Loss = 1.853865, accuracy = 39.0500 %
Epoch 27: Loss = 1.855626, accuracy = 39.1500 %
Epoch 28: Loss = 1.852549, accuracy = 39.4000 %
Epoch 29: Loss = 1.852521, accuracy = 38.9000 %
Epoch 30: Loss = 1.850392, accuracy = 39.9500 %
Epoch 31: Loss = 1.849098, accuracy = 39.5000 %
Epoch 32: Loss = 1.846611, accuracy = 39.3500 %
Epoch 33: Loss = 1.846158, accuracy = 39.2000 %
Epoch 34: Loss = 1.845825, accuracy = 40.1500 %
Epoch 35: Loss = 1.844397, accuracy = 40.4000 %
Epoch 36: Loss = 1.843127, accuracy = 39.6500 %
Epoch 37: Loss = 1.843212, accuracy = 39.8000 %
Epoch 38: Loss = 1.842508, accuracy = 40.0500 %
Epoch 39: Loss = 1.840983, accuracy = 39.4500 %


Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Using downloaded and verified file: /Users/letao/.medmnist/pathmnist.npz
Number of parameters: 990
Epoch 0: Loss = 2.096292, accuracy = 25.1500 %
Epoch 1: Loss = 2.006964, accuracy = 26.9000 %
Epoch 2: Loss = 1.957339, accuracy = 29.7500 %
Epoch 3: Loss = 1.939811, accuracy = 32.8000 %
Epoch 4: Loss = 1.944342, accuracy = 31.1500 %
Epoch 5: Loss = 1.935298, accuracy = 32.0000 %
Epoch 6: Loss = 1.929981, accuracy = 32.9500 %
Epoch 7: Loss = 1.912834, accuracy = 34.6000 %
Epoch 8: Loss = 1.920519, accuracy = 34.7500 %
Epoch 9: Loss = 1.908006, accuracy = 34.0000 %
Epoch 10: Loss = 1.900128, accuracy = 34.7000 %
Epoch 11: Loss = 1.901685, accuracy = 36.1500 %
Epoch 12: Loss = 1.901994, accuracy = 35.6500 %
Epoch 13: Loss = 1.886571, accuracy = 36.3000 %
Epoch 14: Loss = 1.881976, accuracy = 37.2000 %
Epoch 15: Loss = 1.871942, accuracy = 37.5000 %
Epoch 16: Loss = 1.872777, accuracy = 36.4000 %
Epoch 17: Loss = 1.868960, accuracy = 37.7500 %
Epoch 18: Loss = 1.865844, accuracy = 37.6000 %
Epoch 19: Loss = 1.867781, accuracy = 37.8500 %
Epoch 20: Loss = 1.859329, accuracy = 38.1500 %
Epoch 21: Loss = 1.858909, accuracy = 38.8500 %
Epoch 22: Loss = 1.856130, accuracy = 39.0500 %
Epoch 23: Loss = 1.853510, accuracy = 39.0500 %
Epoch 24: Loss = 1.847862, accuracy = 39.4000 %
Epoch 25: Loss = 1.849408, accuracy = 38.8000 %
Epoch 26: Loss = 1.847145, accuracy = 39.1500 %
Epoch 27: Loss = 1.842860, accuracy = 38.7000 %
Epoch 28: Loss = 1.843054, accuracy = 39.0000 %
Epoch 29: Loss = 1.841644, accuracy = 39.0000 %
Epoch 30: Loss = 1.840119, accuracy = 39.3000 %
Epoch 31: Loss = 1.839869, accuracy = 39.6000 %
Epoch 32: Loss = 1.839423, accuracy = 39.7500 %
Epoch 33: Loss = 1.837942, accuracy = 39.9500 %
Epoch 34: Loss = 1.835687, accuracy = 39.4500 %
Epoch 35: Loss = 1.835413, accuracy = 39.7500 %
Epoch 36: Loss = 1.834523, accuracy = 39.7000 %
Epoch 37: Loss = 1.833229, accuracy = 39.7500 %
Epoch 38: Loss = 1.832702, accuracy = 39.7500 %
Epoch 39: Loss = 1.832337, accuracy = 39.6000 %


